Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2/19/86,7.6168,7.8959,8.1013,8.2625,8.3967,8.5139,8.6197,8.7171,8.8078,8.8925,8.9717,9.0456,9.1145,9.1786,9.238,9.293,9.3438,9.3908,9.4343,9.4744,9.5115,9.5458,9.5776,9.607,9.6344,9.6598,9.6835,9.7056,9.7263,9.7456
2/20/86,7.6422,7.9416,8.1474,8.2995,8.4211,8.5251,8.6187,8.7054,8.7869,8.864,8.9368,9.0055,9.07,9.1302,9.1864,9.2387,9.2871,9.332,9.3735,9.4119,9.4474,9.4802,9.5107,9.5389,9.5651,9.5895,9.6122,9.6333,9.6531,9.6716
2/21/86,7.6053,7.8721,8.045,8.1689,8.2684,8.3566,8.4397,8.5202,8.5988,8.6754,8.7495,8.8204,8.8879,8.9515,9.0113,9.067,9.1189,9.1671,9.2117,9.253,9.2913,9.3267,9.3595,9.39,9.4182,9.4445,9.4689,9.4918,9.5131,9.533
2/24/86,7.5607,7.8192,7.9862,8.104,8.1966,8.2767,8.3507,8.4215,8.4902,8.5567,8.6209,8.6823,8.7407,8.7957,8.8474,8.8956,8.9405,8.9822,9.0209,9.0567,9.0899,9.1206,9.149,9.1754,9.1999,9.2227,9.2439,9.2637,9.2822,9.2995
2/25/86,7.5703,7.8324,8,8.1164,8.2061,8.2824,8.3523,8.4187,8.483,8.5454,8.6056,8.6633,8.7182,8.77,8.8188,8.8643,8.9068,8.9463,8.9829,9.0168,9.0483,9.0774,9.1044,9.1294,9.1527,9.1744,9.1945,9.2133,9.2309,9.2473
2/26/86,7.562,7.8211,7.9884,8.1028,8.1875,8.2561,8.3164,8.3723,8.4257,8.4776,8.528,8.5768,8.6238,8.6689,8.7117,8.7523,8.7906,8.8265,8.8601,8.8916,8.921,8.9484,8.9739,8.9977,9.02,9.0407,9.0601,9.0782,9.0952,9.1112
2/27/86,7.496,7.7021,7.8364,7.93,8.0014,8.0613,8.1154,8.1666,8.2163,8.2649,8.3123,8.3582,8.4025,8.4449,8.4852,8.5233,8.5592,8.5929,8.6245,8.654,8.6814,8.7071,8.731,8.7532,8.774,8.7934,8.8115,8.8285,8.8443,8.8592
2/28/86,7.4333,7.6473,7.7883,7.8867,7.9608,8.0217,8.0756,8.1258,8.174,8.2209,8.2666,8.311,8.3539,8.3952,8.4346,8.4721,8.5075,8.5409,8.5723,8.6018,8.6293,8.6551,8.6792,8.7017,8.7228,8.7425,8.7609,8.7781,8.7943,8.8095
3/3/86,7.3893,7.5663,7.6882,7.7783,7.8505,7.9129,7.9701,8.0243,8.0765,8.1271,8.1762,8.2235,8.2689,8.3122,8.3532,8.3921,8.4286,8.4629,8.495,8.525,8.5531,8.5792,8.6036,8.6264,8.6476,8.6675,8.686,8.7034,8.7197,8.735
3/4/86,7.2511,7.3614,7.4704,7.5748,7.6725,7.7628,7.8453,7.9203,7.988,8.0491,8.104,8.1535,8.1979,8.238,8.2741,8.3068,8.3363,8.3631,8.3875,8.4098,8.4301,8.4488,8.4659,8.4817,8.4964,8.5099,8.5224,8.5341,8.545,8.5552
3/5/86,7.3117,7.4949,7.6461,7.7736,7.8834,7.9791,8.0636,8.1389,8.2062,8.2669,8.3216,8.3712,8.4161,8.457,8.4942,8.5281,8.5591,8.5874,8.6134,8.6372,8.6591,8.6793,8.698,8.7152,8.7312,8.7461,8.7599,8.7728,8.7848,8.796
3/6/86,7.2659,7.4268,7.5637,7.6843,7.7932,7.8928,7.9848,8.0702,8.1494,8.2229,8.291,8.3541,8.4123,8.4661,8.5157,8.5614,8.6035,8.6424,8.6782,8.7112,8.7417,8.7699,8.796,8.8202,8.8427,8.8636,8.8831,8.9013,8.9183,8.9342
3/7/86,7.1815,7.3517,7.4938,7.6184,7.7316,7.8366,7.935,8.0275,8.1147,8.1965,8.2731,8.3446,8.4111,8.4729,8.5301,8.5831,8.6321,8.6773,8.7191,8.7577,8.7934,8.8265,8.8571,8.8855,8.9119,8.9365,8.9594,8.9807,9.0007,9.0194
3/10/86,7.0757,7.2252,7.3509,7.4639,7.5696,7.6707,7.7681,7.8619,7.9518,8.0375,8.1187,8.1953,8.267,8.3341,8.3965,8.4545,8.5082,8.558,8.6041,8.6467,8.6862,8.7227,8.7566,8.7881,8.8173,8.8445,8.8699,8.8936,8.9157,8.9365
3/11/86,7.0054,7.1758,7.3079,7.4187,7.5174,7.6092,7.6963,7.7797,7.8595,7.9358,8.0082,8.0767,8.1411,8.2015,8.2578,8.3102,8.3589,8.4041,8.4459,8.4847,8.5206,8.5539,8.5848,8.6135,8.6401,8.6649,8.6881,8.7097,8.7298,8.7488
3/12/86,7.0011,7.1967,7.3312,7.4339,7.521,7.6008,7.6774,7.7524,7.8259,7.8976,7.9671,8.0338,8.0974,8.1576,8.2142,8.2672,8.3167,8.3628,8.4057,8.4454,8.4823,8.5166,8.5483,8.5779,8.6053,8.6309,8.6548,8.677,8.6978,8.7173
3/13/86,7.0384,7.2498,7.3944,7.5026,7.5919,7.6718,7.7474,7.8209,7.8931,7.9638,8.0327,8.0994,8.1635,8.2246,8.2825,8.3372,8.3886,8.4367,8.4817,8.5236,8.5627,8.5991,8.6331,8.6647,8.6942,8.7217,8.7474,8.7714,8.794,8.8151
3/14/86,7.0098,7.2145,7.3529,7.4568,7.5442,7.6241,7.7008,7.7761,7.8501,7.9225,7.9928,8.0604,8.1249,8.1859,8.2434,8.2972,8.3474,8.3942,8.4376,8.4779,8.5153,8.55,8.5822,8.6121,8.6399,8.6658,8.6899,8.7124,8.7335,8.7532
3/17/86,7.0074,7.2093,7.3514,7.4624,7.558,7.646,7.7299,7.8109,7.8893,7.9646,8.0365,8.1046,8.1687,8.2286,8.2845,8.3364,8.3844,8.4287,8.4697,8.5075,8.5425,8.5748,8.6046,8.6323,8.658,8.6818,8.704,8.7247,8.744,8.7621
3/18/86,7.0343,7.2275,7.3833,7.5147,7.6295,7.732,7.8251,7.9101,7.9882,8.06,8.126,8.1866,8.2422,8.2932,8.3399,8.3827,8.4219,8.4579,8.4909,8.5212,8.5491,8.5748,8.5986,8.6205,8.6409,8.6598,8.6773,8.6937,8.709,8.7232
3/19/86,7.0211,7.224,7.3812,7.5097,7.6196,7.7167,7.8046,7.8851,7.9593,8.0281,8.0917,8.1506,8.205,8.2553,8.3016,8.3442,8.3835,8.4197,8.453,8.4837,8.5121,8.5382,8.5624,8.5849,8.6057,8.625,8.643,8.6598,8.6754,8.6901
3/20/86,7.0282,7.2184,7.3669,7.489,7.594,7.6872,7.7716,7.849,7.9204,7.9866,8.0478,8.1044,8.1567,8.2049,8.2494,8.2903,8.328,8.3627,8.3947,8.4241,8.4513,8.4763,8.4995,8.521,8.5409,8.5594,8.5767,8.5927,8.6078,8.6218
3/21/86,6.9755,7.1975,7.3621,7.4919,7.6002,7.6949,7.7804,7.859,7.9322,8.0004,8.0642,8.1236,8.179,8.2305,8.2782,8.3224,8.3633,8.4011,8.436,8.4682,8.4981,8.5257,8.5512,8.5749,8.5969,8.6174,8.6365,8.6543,8.6709,8.6864
3/24/86,6.9498,7.163,7.3211,7.4452,7.5481,7.6374,7.7175,7.7911,7.8595,7.9235,7.9835,8.0397,8.0923,8.1414,8.1871,8.2297,8.2692,8.3059,8.34,8.3715,8.4008,8.428,8.4532,8.4766,8.4984,8.5188,8.5377,8.5554,8.572,8.5875
3/25/86,6.9565,7.1735,7.3313,7.4532,7.5531,7.6394,7.7169,7.7883,7.855,7.9178,7.9769,8.0326,8.085,8.1341,8.18,8.2228,8.2626,8.2997,8.3342,8.3662,8.3959,8.4235,8.4491,8.473,8.4952,8.5159,8.5352,8.5533,8.5701,8.586
3/26/86,6.943,7.159,7.3126,7.4283,7.5211,7.5999,7.67,7.7342,7.7942,7.8506,7.9038,7.9541,8.0015,8.0461,8.0878,8.1268,8.1632,8.1971,8.2287,8.258,8.2853,8.3106,8.3342,8.3561,8.3765,8.3956,8.4133,8.4299,8.4455,8.4601
3/27/86,6.8605,7.0937,7.2432,7.3432,7.4145,7.4697,7.5162,7.5581,7.5974,7.6353,7.6721,7.7078,7.7423,7.7756,7.8074,7.8377,7.8663,7.8934,7.9189,7.9427,7.9651,7.986,8.0056,8.0239,8.041,8.0569,8.0719,8.0859,8.099,8.1114
3/31/86,6.829,7.0092,7.1372,7.231,7.3023,7.3587,7.405,7.4443,7.4786,7.5091,7.5367,7.5619,7.585,7.6064,7.6261,7.6443,7.6611,7.6768,7.6912,7.7046,7.717,7.7286,7.7393,7.7492,7.7585,7.7671,7.7752,7.7827,7.7898,7.7964
4/1/86,6.7781,6.9841,7.1255,7.2241,7.2946,7.347,7.3883,7.4227,7.453,7.4811,7.508,7.5342,7.5599,7.5853,7.6103,7.6349,7.6589,7.6824,7.7051,7.727,7.7481,7.7683,7.7877,7.8062,7.8238,7.8406,7.8565,7.8716,7.886,7.8996
4/2/86,6.7825,7.0198,7.1726,7.2711,7.3359,7.3805,7.4139,7.4416,7.467,7.492,7.5177,7.5444,7.5721,7.6007,7.6299,7.6593,7.6888,7.718,7.7468,7.7748,7.8021,7.8284,7.8537,7.878,7.9012,7.9234,7.9445,7.9646,7.9838,8.0019
